source,target,weight
COTY,SNA,0.8086451359130814
COTY,EL,0.7830284056005059
COTY,ORLY,0.6976766176202092
COTY,ZION,0.6470167418485417
COTY,LB,0.6304821119708776
COTY,BLL,0.6203225175329076
COTY,ADM,0.6060197478780271
COTY,NUE,0.5830926189206068
COTY,ICE,0.5823966499519767
COTY,CMA,0.5793225335130846
COTY,BDX,0.5686263657644136
COTY,FMC,0.5589148614423182
COTY,ROP,0.5476122426058302
COTY,GE,0.5462929992416242
COTY,BBT,0.5361290280732247
COTY,JEC,0.5209591064672874
COTY,RF,0.5188855681496995
COTY,BLK,0.5148053191929656
COTY,MCHP,0.5122698995157543
COTY,BRK.B,0.5070955578504632
COTY,CSRA,
COTY,PYPL,
COTY,HLT,
COTY,WRK,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,AMD,0.43552528506073074
COTY,HPQ,
COTY,RL,0.39791406939944207
COTY,HPE,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,HLT,
CSRA,WRK,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,VZ,0.8317380257808866
T,ITW,0.618458680658334
T,BRK.B,0.615813835679453
T,AMP,0.5996881310091453
T,XOM,0.5956215468638032
T,FISV,0.5941282150272824
T,MET,0.5897715093522992
T,PFG,0.5868643263722542
T,AME,0.5846380385603918
T,TMK,0.5838019194867787
T,L,0.5820379531129393
T,USB,0.5819166336462155
T,HIG,0.5813418377933075
T,EMR,0.5720398745455502
T,GD,0.5704037235887808
T,BEN,0.5696722269956638
T,JPM,0.569465344071106
T,PNC,0.5693995813391141
T,DFS,0.5679211686457514
T,KO,0.567109715735575
T,PYPL,
T,HLT,
T,WRK,
T,MAT,0.38447216115071353
T,WLTW,
T,UA,
T,KHC,
T,EVHC,
T,HPQ,
T,HPE,
T,DXC,
T,BHF,
T,DWDP,
T,APTV,
T,CTL,0.5108377708879004
T,FTV,
T,BHGE,
UNM,LNC,0.8840989289846537
UNM,PFG,0.852177301766786
UNM,MS,0.8485475071817863
UNM,AMP,0.8421328562166626
UNM,STI,0.8337335340730371
UNM,MET,0.8326708426881669
UNM,L,0.8316785434474435
UNM,TROW,0.8253135946057815
UNM,BEN,0.8181134998253758
UNM,PBCT,0.8170385244808759
UNM,GS,0.8166917579521893
UNM,ZION,0.812781766889796
UNM,PNC,0.8119027656118467
UNM,RJF,0.8072628288053909
UNM,CMA,0.804384325321075
UNM,BLK,0.8033428804647217
UNM,JPM,0.8017472999309332
UNM,RF,0.7916742746682927
UNM,AFL,0.7916628621376038
UNM,MTB,0.7907221585590353
UNM,XYL,0.7364878672186039
UNM,XOM,0.7630979745014148
UNM,PYPL,
UNM,GPC,0.668920225319981
UNM,JEC,0.7514467531076242
UNM,HLT,
UNM,CMCSA,0.6430979629076038
UNM,CTAS,0.6609114367651326
UNM,FAST,0.5841143236524371
UNM,WRK,
UNM,KMX,0.6024855217926892
UNM,NAVI,0.3899564187278327
UNM,WLTW,
UNM,UA,
UNM,EBAY,0.635638814925962
UNM,KHC,
UNM,ACN,0.7547688763636394
UNM,EVHC,
UNM,STT,0.7678017234599612
UNM,NTAP,0.5420668773015094
UNM,GE,0.7226524051004111
UNM,PRU,0.7163967477797647
UNM,HPQ,
UNM,AIG,0.7878037846822594
UNM,MON,0.6930081539722138
UNM,ETN,0.7723177483791077
UNM,HRS,0.6511269342139412
UNM,CHRW,0.6361943909507488
UNM,VZ,0.4987628333493842
UNM,HPE,
UNM,DOV,0.73086753332068
UNM,DXC,
UNM,BHF,
UNM,CTXS,0.7099551770921784
UNM,EL,0.6307375727235123
UNM,DWDP,
UNM,APTV,
UNM,PH,0.7830156040962973
UNM,CTL,0.5745511263034752
UNM,FTV,
UNM,RHT,0.5480070345399513
UNM,AON,0.6661047477785018
UNM,BHGE,
UNM,NDAQ,0.6511541465234248
XYL,PH,0.8014505705151097
XYL,AME,0.7963481052925194
XYL,PNR,0.7750913621070933
XYL,ETN,0.7571608341278273
XYL,PX,0.7544895787924205
XYL,CVX,0.7543404488150366
XYL,ROK,0.7536312153086434
XYL,URI,0.7529920900157465
XYL,JEC,0.7508267025329451
XYL,APC,0.7498065301738298
XYL,ITW,0.7435460102510456
XYL,XOM,0.7415915213276391
XYL,DOV,0.7329317092365413
XYL,FLR,0.731771752753789
XYL,NSC,0.7269031072612246
XYL,CAT,0.7263966471570381
XYL,WMB,0.7254755819776559
XYL,LYB,0.7163180404129733
XYL,GS,0.7149949953047604
XYL,NFLX,0.5672742980580834
XYL,PYPL,
XYL,HLT,
XYL,DISCA,0.5483829087858071
XYL,CTAS,0.6325498429086196
XYL,WRK,
XYL,LLL,0.714046862372362
XYL,WLTW,
XYL,GOOGL,0.4818131971338315
XYL,ALB,0.45169277102147504
XYL,UA,
XYL,EMN,0.6419789887592825
XYL,KHC,
XYL,EVHC,
XYL,HON,0.698963896536694
XYL,COG,0.5337190750803527
XYL,GOOG,0.48047259629455163
XYL,NTAP,0.5316332135482912
XYL,CMI,0.6787627594721867
XYL,HPQ,
XYL,EMR,0.68660222315507
XYL,PKI,0.61508699666682
XYL,GWW,0.6166845721253076
XYL,CHRW,0.6059693173359171
XYL,DE,0.6447053448619234
XYL,CDNS,0.5872179538819097
XYL,HPE,
XYL,NBL,0.7041504968444444
XYL,ADM,0.640679900679697
XYL,DXC,
XYL,NLSN,0.5418114527619159
XYL,BHF,
XYL,FLS,0.6924255637405122
XYL,DWDP,
XYL,PCAR,0.6470186776404577
XYL,APTV,
XYL,FTV,
XYL,VMC,0.6739645330165049
XYL,BHGE,
AJG,CB,0.7545281879872067
AJG,CINF,0.7412028756798249
AJG,TRV,0.7393514720069171
AJG,TMK,0.7144776117371313
AJG,GS,0.7138619755332707
