source,target,weight
COTY,COO,0.4172472852868111
COTY,MHK,0.33354054042475517
COTY,SIG,0.324460553822031
COTY,CINF,0.32300005390001435
COTY,ULTA,0.32285938991995766
COTY,TSS,0.3223077502613423
COTY,MAA,0.321493810914521
COTY,NWL,0.3187416276061202
COTY,CB,0.31534963989075343
COTY,TRV,0.31415740190806724
COTY,TPR,0.3123178517397699
COTY,FRT,0.30762999221255555
COTY,BEN,0.3072848463486085
COTY,PPL,0.30549985331009477
COTY,EXR,0.2978943420543631
COTY,BXP,0.2949682289963945
COTY,FL,0.29268680350854637
COTY,WAT,0.2915554012744811
COTY,C,0.2887176251513678
COTY,APC,0.28801060651636007
COTY,CSRA,
COTY,QRVO,
COTY,PYPL,
COTY,SYF,
COTY,HLT,
COTY,CFG,
COTY,WRK,
COTY,NAVI,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,GOOG,
COTY,INFO,
COTY,HPQ,
COTY,HPE,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,SYF,
CSRA,HLT,
CSRA,CFG,
CSRA,WRK,
CSRA,NAVI,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,GOOG,
CSRA,INFO,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,VZ,0.722237615795759
T,CTL,0.6111600890292355
T,TROW,0.603842628803445
T,COST,0.5933140916271593
T,BEN,0.5925668985099487
T,TAP,0.5916842193287276
T,EMR,0.578038330889645
T,CL,0.5643232583248341
T,WY,0.5604478644177381
T,LEG,0.5534140981986235
T,UDR,0.5523329391562618
T,SRE,0.5473489423116443
T,APH,0.5364515404953349
T,RE,0.5315434007084191
T,KIM,0.530563175220559
T,ANSS,0.5295944344126344
T,MAA,0.5270207976465024
T,AIZ,0.5197439841040864
T,NWL,0.5173959752280488
T,BF.B,0.5148014149745394
T,PDCO,0.4494144390116049
T,QRVO,
T,PYPL,
T,SYF,
T,HLT,
T,CFG,
T,WRK,
T,NAVI,
T,WLTW,
T,FE,0.3461971282994965
T,UA,
T,KHC,
T,EVHC,
T,GOOG,
T,INFO,
T,HPQ,
T,HPE,
T,DXC,
T,SYMC,0.41821478796783235
T,BHF,
T,DWDP,
T,APTV,
T,FTV,
T,BHGE,
UNM,LNC,0.8140800166248245
UNM,CMA,0.7442756108235152
UNM,MET,0.7409059082658473
UNM,WFC,0.6943120318141457
UNM,L,0.6934184588389314
UNM,ALL,0.691057009792302
UNM,PFG,0.6890526435084834
UNM,AMP,0.6875538558922469
UNM,BF.B,0.6824664825515897
UNM,TMK,0.6800307079962131
UNM,RF,0.6738901305144445
UNM,NTRS,0.6734219277694388
UNM,COF,0.6658680022466454
UNM,PRU,0.6628259790885868
UNM,FITB,0.6580888034012942
UNM,HBAN,0.6570570950630542
UNM,KEY,0.6536322857546459
UNM,BRK.B,0.6525089211842106
UNM,AFL,0.6436385345685338
UNM,CB,0.6337695893630058
UNM,ZION,0.6281208190956331
UNM,QRVO,
UNM,PYPL,
UNM,VRSK,0.44232390497752816
UNM,XRAY,0.4763676726451531
UNM,SYF,
UNM,HLT,
UNM,EA,0.43620851427880114
UNM,CFG,
UNM,WRK,
UNM,NAVI,
UNM,WLTW,
UNM,YUM,0.3952948905548378
UNM,UA,
UNM,RHI,0.6145206642431704
UNM,KHC,
UNM,EVHC,
UNM,GOOG,
UNM,MTB,0.5964556964402459
UNM,INFO,
UNM,ADI,0.5337577262561165
UNM,HPQ,
UNM,AIG,0.6186308732359938
UNM,JNPR,0.5367491818357076
UNM,HRS,0.5398412220061057
UNM,ICE,0.45073104811240683
UNM,FFIV,0.47406402088647154
UNM,HPE,
UNM,SCHW,0.6131758055915211
UNM,DXC,
UNM,BHF,
UNM,REGN,0.5415370940760237
UNM,AES,0.536094315789981
UNM,STZ,0.5283219157146047
UNM,DWDP,
UNM,BMY,0.5008662014987486
UNM,APTV,
UNM,FTV,
UNM,ESRX,0.38144582528765525
UNM,CI,0.4953218708587445
UNM,SBAC,0.3413522084124495
UNM,BHGE,
XYL,FIS,0.6096391030940884
XYL,AME,0.5955655735050841
XYL,TRIP,0.5623233869070329
XYL,HRS,0.5399666545333827
XYL,ECL,0.503513622340337
XYL,AGN,0.49147679445410136
XYL,TJX,0.4693960619782906
XYL,PNR,0.4557701633899302
XYL,AIG,0.44884676029818443
XYL,LNC,0.44534641571885425
XYL,LEG,0.4416819162367336
XYL,SBUX,0.4340453686278767
XYL,STT,0.4298977375820863
XYL,HD,0.4206373982831385
XYL,VRSN,0.4117342169795681
XYL,PFG,0.4104298079426403
XYL,XLNX,0.41032711811249617
XYL,MCHP,0.40705451752279564
XYL,ADI,0.4063470767057739
XYL,TXN,0.40206746456410813
XYL,QRVO,
XYL,PYPL,
XYL,SYF,
XYL,HLT,
XYL,CFG,
XYL,WRK,
XYL,NAVI,
XYL,WLTW,
XYL,UA,
XYL,KHC,
XYL,EVHC,
XYL,GOOG,
XYL,INFO,
XYL,HPQ,
XYL,HPE,
XYL,DXC,
XYL,BHF,
XYL,DWDP,
XYL,APTV,
XYL,FTV,
XYL,BHGE,
AJG,DRE,0.6863069522477544
AJG,AMP,0.6765435007606596
AJG,MMC,0.6731676198930256
AJG,ITW,0.6602741386853602
AJG,L,0.6538085055466755
AJG,PSA,0.6527918171644415
AJG,CINF,0.6454074438449272
AJG,HST,0.6436392947317182
AJG,EMR,0.6412153331840772
AJG,COL,0.6397431804613366
AJG,HCN,0.632228028611594
AJG,BLK,0.6277864703631615
AJG,AFL,0.614534370693797
AJG,CBS,0.6141377493020922
AJG,AMG,0.6109012206553469
AJG,F,0.6105154263112292
AJG,BRK.B,0.6099187748886852
AJG,WFC,0.6098847072042624
AJG,MAC,0.6096048074484712
AJG,PFG,0.6087263347692596
AJG,LLY,0.5110897722520479
AJG,QRVO,
AJG,PYPL,
AJG,SYF,
AJG,HLT,
AJG,GILD,0.564762773406485
AJG,CFG,
AJG,WRK,
AJG,NAVI,
AJG,WLTW,
AJG,UA,
AJG,KHC,
AJG,EVHC,
AJG,GOOG,
AJG,INFO,
AJG,LUV,0.5191860457523055
AJG,GT,0.3664177475073455
AJG,HPQ,
AJG,CNP,0.5469647794297072
AJG,LH,0.38792548842889224
AJG,SYK,0.5974895769375314
AJG,PWR,0.5667796393021968
AJG,DE,0.38191130784497135
AJG,HPE,
AJG,DXC,
AJG,BHF,
AJG,CVS,0.45183558261354956
AJG,DWDP,
AJG,ROK,0.5105316110377855
AJG,APTV,
AJG,DLTR,0.39194781298316717
AJG,DAL,0.4809545864911708
AJG,DG,0.39181823408205824
AJG,FTV,
AJG,GGP,0.595363499277468
AJG,PFE,0.6085219562293936
AJG,KSU,0.5575245252662111
AJG,BHGE,
WFC,USB,0.8456713040717492
WFC,AMP,0.8400061578571684
WFC,PNC,0.829282163251153
WFC,CMA,0.8161044598787863
WFC,C,0.813981961748153
WFC,CINF,0.806024961154696
WFC,BAC,0.7996576373765091
WFC,BK,0.7866664002424845
WFC,L,0.7807839522023937
WFC,BBT,0.7790623558608012
WFC,BLK,0.7770271252206852
WFC,NTRS,0.7711043853713307
WFC,BRK.B,0.7662271129759445
WFC,HBAN,0.7581190042562649
WFC,FITB,0.7571527064078248
WFC,PFG,0.7458469698236679
WFC,TROW,0.7453324978251141
WFC,MET,0.7412589122773889
WFC,JPM,0.7398694513092939
WFC,MMC,0.7367001586046747
WFC,LLY,0.5357491421500907
WFC,ATVI,0.43608801985752366
WFC,QRVO,
WFC,XOM,0.524103551233835
WFC,SPGI,0.6190805105485432
WFC,VRTX,0.42138306719974744
WFC,AET,0.5481391716810045
WFC,PYPL,
WFC,VRSK,0.4774252994354784
WFC,SYF,
WFC,FOXA,0.6728007794948838
WFC,HLT,
WFC,GILD,0.6955464805295639
WFC,V,0.5636481222712634
WFC,VFC,0.5720136810699885
WFC,HRB,0.6332025256663323
WFC,BIIB,0.5787932309392669
WFC,CELG,0.5126145681112767
WFC,EA,0.4185856391050738
WFC,CTAS,0.6724570162947332
WFC,MCK,0.54210666079342
WFC,DHR,0.7059778651483313
WFC,CERN,0.4980412476498446
WFC,CFG,
WFC,WRK,
WFC,PBCT,0.5636321523821775
WFC,NAVI,
WFC,WLTW,
WFC,VLO,0.5564197600807262
WFC,TJX,0.6306366769137767
WFC,LNC,0.7026058274322966
WFC,TMO,0.7232308899434803
WFC,ANDV,0.4849332213997037
WFC,GS,0.653668867132858
WFC,UA,
WFC,CBOE,0.6577808220419361
WFC,AIZ,0.629537003081529
WFC,RHI,0.598541442276386
WFC,MS,0.6955291072216675
WFC,GM,0.5395656476163636
WFC,JNJ,0.689979733723892
WFC,KHC,
WFC,RJF,0.6704371849556049
WFC,FDX,0.5296794349266559
WFC,EVHC,
WFC,HON,0.6557507315546126
WFC,STT,0.6919057628236008
WFC,MPC,0.4374157762257588
WFC,TSN,0.41744262188608516
WFC,GPS,0.42349201257162417
WFC,STI,0.7248430487789875
WFC,ALL,0.7274670436658326
WFC,GOOG,
WFC,CCL,0.42482372392678336
WFC,MTB,0.6167993113112333
WFC,INFO,
WFC,PX,0.67684328878094
WFC,FOX,0.66189808348691
WFC,ABBV,0.547705942307691
WFC,KEY,0.7278620831042261
WFC,ABT,0.5766575643270673
WFC,HPQ,
WFC,PKI,0.5997997064324508
WFC,AIG,0.6670098843395371
WFC,MON,0.5541285407716181
WFC,EQT,0.5032508474946366
WFC,ICE,0.4701668621236759
WFC,CB,0.6759841043307887
WFC,PGR,0.5849812306863623
WFC,PSX,0.6290476664321502
WFC,AVY,0.5558542379803075
WFC,HPE,
WFC,SCHW,0.6376394836293404
WFC,TMK,0.7344502227955784
WFC,M,0.4345857508124451
WFC,A,0.5018709672953594
WFC,ADM,0.44986582699236194
WFC,DXC,
WFC,HII,0.6146589055263713
WFC,FMC,0.6512810110446541
WFC,BHF,
WFC,AXP,0.7316687509306067
WFC,BF.B,0.6948611173687882
WFC,CME,0.6627737428831346
WFC,EFX,0.5902065066884293
WFC,DWDP,
WFC,AMGN,0.580377298326306
WFC,MDLZ,0.5730314377831701
WFC,HIG,0.679789268180277
WFC,PCAR,0.6230863696240929
WFC,JCI,0.5724931794753989
WFC,APTV,
WFC,LUK,0.6156368513334864
WFC,RF,0.6419635609791471
WFC,FTV,
WFC,ARNC,0.4936160848479477
WFC,NKE,0.563715651062764
WFC,PFE,0.6677677030624505
WFC,SEE,0.5257442545520956
WFC,RHT,0.36187599671284515
WFC,APD,0.6017246530181152
WFC,MRO,0.5698647751436241
WFC,XL,0.639467244610625
WFC,DFS,0.6530184332001545
WFC,WDC,0.55003500794332
WFC,BEN,0.6568820499962853
WFC,FISV,0.7004724428247182
WFC,MYL,0.5216442469925657
WFC,COF,0.6532955882933075
WFC,BHGE,
WFC,NDAQ,0.46231798706208627
WFC,ABC,0.6651175650513114
AIV,UDR,0.7315468367984043
AIV,PSA,0.7314785252076599
AIV,EQR,0.7139026938996436
AIV,AVB,0.7132469852616278
AIV,MAA,0.7000244647400029
AIV,VNO,0.6937484830917666
AIV,HCN,0.6911343098124976
AIV,EXR,0.6889819016696709
AIV,WY,0.6574491032017424
AIV,SLG,0.6414930191225352
AIV,HCP,0.6321671891013695
AIV,DRE,0.6219426417797405
AIV,VTR,0.6092113524500027
AIV,REG,0.6071719497753973
AIV,CTL,0.5965203634976399
AIV,KIM,0.5948315115166054
AIV,BXP,0.5921397548214675
AIV,MAC,0.5916596067658529
AIV,NWL,0.5901988728525617
AIV,HST,0.588593838537123
AIV,QRVO,
AIV,PYPL,
AIV,SYF,
AIV,HLT,
AIV,CFG,
AIV,WRK,
AIV,NAVI,
AIV,WLTW,
AIV,CF,0.4022563251969606
AIV,COO,0.35192352454463766
AIV,UA,
AIV,KHC,
AIV,EVHC,
AIV,GOOG,
AIV,INFO,
AIV,VIAB,0.5095640302136124
AIV,HPQ,
AIV,DE,0.31606764566943174
AIV,CDNS,0.3696449985537728
AIV,HPE,
AIV,DXC,
AIV,BHF,
AIV,DWDP,
AIV,APTV,
AIV,FTV,
AIV,ARNC,0.4590988715855524
AIV,BHGE,
LLY,WM,0.5424486543961516
LLY,MKC,0.5408999265549056
LLY,HON,0.5286833140361924
LLY,HST,0.5196032021591634
LLY,DHR,0.5151005613874806
LLY,SNA,0.5060443812156933
LLY,BK,0.5036224526422723
LLY,CMI,0.4983171006580269
LLY,RSG,0.4931760596271457
LLY,LNT,0.4881383456293472
LLY,DTE,0.4872064823604655
LLY,FOXA,0.48394293176752334
LLY,TMO,0.48360614254012607
LLY,JNJ,0.4821990934444652
LLY,HBAN,0.480804371551417
LLY,SLG,0.48009041399701996
LLY,PEG,0.47731140311698783
LLY,PCAR,0.47685300088911003
LLY,QRVO,
LLY,PYPL,
LLY,SYF,
LLY,HLT,
LLY,CFG,
LLY,WRK,
LLY,NAVI,
LLY,WLTW,
LLY,UA,
LLY,KHC,
LLY,EVHC,
LLY,GOOG,
LLY,INFO,
LLY,HPQ,
