source,target,weight
COTY,PNR,0.5974271891835562
COTY,FAST,0.5913679458499483
COTY,GWW,0.5756732070009584
COTY,TJX,0.5598000262408778
COTY,FMC,0.5581974252425692
COTY,XYL,0.553459596606535
COTY,DOV,0.5521839462504579
COTY,ETN,0.5467641907962894
COTY,UTX,0.535265134344758
COTY,HON,0.5346496470742713
COTY,EL,0.5305215986736179
COTY,ALGN,0.5294315625050947
COTY,MAT,0.5251643410083112
COTY,ANSS,0.5242349545812113
COTY,RMD,0.5222857695819129
COTY,APH,0.5213682695030132
COTY,LB,0.5205659200282232
COTY,GS,0.5198754303306276
COTY,ITW,0.5180390011374251
COTY,CAG,0.5154656697311372
COTY,HLT,
COTY,LMT,0.45932767932555896
COTY,EVHC,
COTY,COST,0.4707135383648671
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,BHGE,
CSRA,XRX,0.7202357491870327
CSRA,PCAR,0.7141140142887646
CSRA,CA,0.7068033017886438
CSRA,IVZ,0.6984344060476215
CSRA,FMC,0.6980816900134076
CSRA,MCO,0.6976528654438481
CSRA,FIS,0.6868563386798773
CSRA,OMC,0.6863911304875228
CSRA,AMG,0.6849676542139858
CSRA,TPR,0.683452550908131
CSRA,PVH,0.6828060562386934
CSRA,FLR,0.6786456611432826
CSRA,RHT,0.6775144827386819
CSRA,ETN,0.6752743977958436
CSRA,ADI,0.6736628082551126
CSRA,MGM,0.670836170488097
CSRA,TMO,0.6683923587506461
CSRA,A,0.6637907764937079
CSRA,BLK,0.6613925436799559
CSRA,SPGI,0.661367192007582
CSRA,HLT,
CSRA,WYNN,0.5713182235937675
CSRA,TJX,0.6037654192784998
CSRA,EVHC,
CSRA,VRSN,0.6081401067081976
CSRA,MLM,0.5433477413043745
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,BBY,0.3834912710614521
CSRA,APTV,
CSRA,BHGE,
T,VZ,0.8752177003745399
T,BXP,0.6965056048208279
T,AEE,0.6794589496788768
T,PEG,0.6738138114899987
T,KIM,0.6689405142025113
T,AMT,0.6673653186186238
T,VNO,0.6638275387183392
T,HCN,0.6574960519235145
T,ARE,0.6554180852567737
T,ETR,0.6524422873532633
T,CCI,0.6510046066174366
T,FRT,0.6509061295098814
T,NEE,0.6483184419450305
T,EIX,0.6450928875939889
T,AWK,0.6440247072935112
T,EXC,0.6374828143417604
T,AIV,0.6350460545078394
T,MMM,0.634503358884564
T,SCG,0.631379855357762
T,MO,0.6227001035675442
T,LLY,0.49938389842304687
T,HLT,
T,LMT,0.5130318858738586
T,EVHC,
T,NOC,0.5678517378207796
T,MNST,0.5378753427295134
T,ESS,0.5607129300739729
T,DXC,
T,BHF,
T,PSA,0.45957588058332693
T,DWDP,
T,APTV,
T,MAA,0.5656483484261394
T,BHGE,
UNM,LNC,0.9482051034917721
UNM,FITB,0.9340513671979386
UNM,PRU,0.9261663317541442
UNM,PNC,0.9067283021230685
UNM,RF,0.9047948464421072
UNM,BBT,0.9008736688720616
UNM,HBAN,0.8926306765634093
UNM,AMP,0.8925671985982465
UNM,SCHW,0.8916485191998601
UNM,NTRS,0.8875266334691193
UNM,CMA,0.885278639747366
UNM,USB,0.8846910619183648
UNM,CFG,0.8818560368709843
UNM,KEY,0.8795195005550435
UNM,JPM,0.8784294262717267
UNM,TMK,0.8773639104225122
UNM,C,0.8773510051010385
UNM,STI,0.8692649101089012
UNM,IVZ,0.8674438500667271
UNM,BK,0.8645858541750424
UNM,GLW,0.8182725214543964
UNM,HLT,
UNM,WYNN,0.5278654435896711
UNM,CF,0.6008960239506917
UNM,RHI,0.6855206456333649
UNM,EVHC,
UNM,MTB,0.8060436843158709
UNM,MET,0.8616589058380556
UNM,AIG,0.8282043591782948
UNM,DXC,
UNM,BHF,
UNM,DWDP,
UNM,APTV,
UNM,RHT,0.7403165505049685
UNM,XL,0.7010885855094928
UNM,BHGE,
XYL,TMO,0.8258873866261848
XYL,TXT,0.7972414286210916
XYL,PH,0.7946803545561356
XYL,OMC,0.7927357024700713
XYL,CA,0.7910052505861397
XYL,EMR,0.7896911496620727
XYL,ADI,0.7835037621617403
XYL,UTX,0.7834062835109424
XYL,MAR,0.782541292438454
XYL,BA,0.7801716863700935
XYL,DOV,0.7788324213370691
XYL,ITW,0.7747732127143486
XYL,ETN,0.774089211804033
XYL,AOS,0.7707701256095534
XYL,INTC,0.7697927047426182
XYL,PNR,0.767762435491589
XYL,ROK,0.7666398176294346
XYL,A,0.766364215866003
XYL,APH,0.7650681188289836
XYL,MCO,0.7623676466846013
XYL,HLT,
XYL,DISH,0.6158113172589205
XYL,FAST,0.7260820002162695
XYL,KMX,0.645584215724978
XYL,LLL,0.617722254173288
XYL,SIG,0.5316376875844995
XYL,IPG,0.7174128684012142
XYL,DHI,0.6932261211343528
XYL,KORS,0.6998695800201
XYL,GM,0.7480427485882191
XYL,EVHC,
XYL,GD,0.6745031821603732
XYL,GT,0.6773605731406913
XYL,WAT,0.729899288740657
XYL,NWS,0.738410134957324
XYL,DXC,
XYL,HII,0.5928162586836072
XYL,BHF,
XYL,DWDP,
XYL,APTV,
XYL,BHGE,
AJG,EFX,0.8777239052626724
AJG,MMC,0.8746822928591518
AJG,AON,0.8669404556281121
AJG,CB,0.8621046214683532
AJG,ETN,0.8587409417151274
AJG,IBM,0.8580499520239878
AJG,ITW,0.8441657081024082
AJG,SWK,0.8334133192073712
AJG,CINF,0.829120311448394
AJG,PPG,0.8282086019114473
AJG,BLK,0.8270836365297326
AJG,WLTW,0.8234313801935407
AJG,MCO,0.8222039929420918
AJG,IVZ,0.818925846839534
AJG,CA,0.8183146166006644
AJG,MHK,0.8171122815305145
AJG,MAR,0.8159850069184635
AJG,LKQ,0.8154953340724403
AJG,GE,0.8148574977761054
AJG,CSCO,0.8141166975121279
AJG,ATVI,0.7390249568223879
AJG,VRTX,0.6614472545107187
AJG,CHTR,0.4655219348981101
AJG,VRSK,0.6141766520440902
AJG,XRAY,0.7093375710792938
AJG,TROW,0.7891707248759287
AJG,GPC,0.7071436940772248
AJG,HLT,
AJG,ALLE,0.7893908691413554
AJG,DIS,0.764628419898138
AJG,HST,0.7338663769714342
AJG,ADS,0.5604305186936842
AJG,HRB,0.471271408839648
AJG,CMCSA,0.6170599151332841
AJG,EA,0.6655463777962493
AJG,SBUX,0.6186066840135931
AJG,TDG,0.7426370179146252
AJG,WHR,0.7909847254515976
AJG,YUM,0.773962739201357
AJG,INCY,0.6287332474186866
AJG,ALB,0.7441522764106158
AJG,HAS,0.6498025816408681
AJG,CBOE,0.4425292059664722
AJG,AIZ,0.7410917273161568
AJG,SNPS,0.6925258588595677
AJG,SNA,0.7318658493929928
AJG,IQV,0.6314757454910931
AJG,JBHT,0.6685506964399084
AJG,EVHC,
AJG,HSIC,0.5652594055532855
AJG,GD,0.7089666275498088
AJG,ALL,0.8112626126434095
AJG,MMM,0.8081165008834399
AJG,FLIR,0.6998264407357623
AJG,RE,0.7305900157104492
AJG,WY,0.8115137525990174
AJG,VRSN,0.6402319694415397
AJG,ABT,0.7223053835596012
AJG,WU,0.730471796868042
AJG,FB,0.65848836322097
AJG,PGR,0.7532359129772356
AJG,PAYX,0.7183004459834766
AJG,CDNS,0.6323524583601424
AJG,IR,0.7838531643044813
AJG,OMC,0.8038594944853767
AJG,DXC,
AJG,NLSN,0.7317060457841851
AJG,BHF,
AJG,TWX,0.7694474712217851
AJG,TRV,0.7644428400519114
AJG,DWDP,
AJG,AMGN,0.7306015628992034
AJG,MDLZ,0.7412450354853054
AJG,HIG,0.6503678945383262
