train_loss,train_acc,train_balanced_acc,val_loss,val_acc,val_balanced_acc
0.6928035846940129,0.5103854565979163,0.5145367555037598,0.6935043581154036,0.49407016788635383,0.4988232498475649
0.6920964188360545,0.5188636203287786,0.520702535857177,0.6943642066224761,0.4937473095135601,0.49814901861211996
0.6913697125651208,0.5198278497683497,0.5231731390786264,0.6948781130106553,0.4940486439948343,0.49838548557815027
0.6907356445126749,0.5233249453211354,0.5262402843806355,0.6977986019590626,0.4930370210934137,0.49822418962221465
0.690384792743556,0.5224006961266198,0.5274912000436123,0.6962411364783412,0.49329530779164876,0.4971396236821924
0.6901531985423344,0.5248018626090638,0.5286654563790792,0.6967241686323414,0.49407016788635383,0.497421624755368
0.6899142154180522,0.5248112697255475,0.5284006110373325,0.6970260421866956,0.49444683598794664,0.49815280463708467
0.6898744463779014,0.5237365066672938,0.5282060851477167,0.6967467212158701,0.49480198019801985,0.49768846752542195
0.6895825369482652,0.5264645704475436,0.5294108837914703,0.6969209559585737,0.49478045630650025,0.4974365443025193
0.6892466988246401,0.5290044918981209,0.5304363347471472,0.6978825985089593,0.4945867412828239,0.4979565645412612
0.6891298464669751,0.5297053220761507,0.5301570690493738,0.698209771319576,0.4933491175204477,0.49795306772215514
0.6888196819468518,0.5314009548223232,0.5318599998856356,0.6993440036540446,0.49233749461902715,0.49744949834134206
0.68854414807929,0.5313468639025422,0.5316290743861838,0.7000008319383082,0.49090615583297453,0.4968093321594436
0.6881155094171646,0.5332941370146517,0.5329341308686973,0.699850586121497,0.4916056823073611,0.49703969506367285
0.6878345496864047,0.5347146116036782,0.5342295963110187,0.700752469184606,0.4907016788635385,0.4965259851127352
0.6875159769471637,0.5355494931915994,0.5355067848761135,0.702670999519203,0.49030348687042613,0.49706861334264035
0.6874753340123102,0.5364408174784224,0.5350629438621938,0.7017622956115267,0.4913151097718467,0.4976149987095911
0.6871911230676248,0.537689612191623,0.5380278876232493,0.7021548420838688,0.4915733964700818,0.49773289557343536
0.686950825809583,0.5385856400366877,0.5385649569221346,0.7023129981497059,0.49187473095135603,0.4977018377941334
0.6867425458731391,0.5383951459278944,0.5391682589658126,0.7038305877991344,0.4909276797244942,0.4969295232794536
0.6866588427590078,0.537960066790527,0.538873672608244,0.7033408844600553,0.49146577701248384,0.49731052181532126
