epoch,train_loss,train_accuracy,train_f1,train_mcc,val_loss,val_accuracy,val_f1,val_mcc,learning_rate
1,0.7179694052012462,0.4974905037673579,0.49686719964160014,-0.003077759558425856,0.6951678928100702,0.5094809480948095,0.5024731666479082,0.010339428844923268,0.001
2,0.7016188119942287,0.49861137057101934,0.4986434580797383,-0.0033115622968591394,0.6951821979248163,0.5080708070807081,0.5037785988508556,0.009260674101523366,0.001
3,0.6978801005291488,0.5016501650165016,0.4980528630385071,-0.0011639121125382062,0.6967534341595389,0.5077707770777078,0.5051515731243825,0.010074504400854828,0.001
4,0.6968110012558272,0.4967308051559873,0.4967767519638195,-0.006999879557574052,0.6949214826930653,0.5088508850885088,0.5038898333598852,0.010359976515378956,0.001
5,0.6960107687884157,0.49132573634721965,0.49066641433462627,-0.015409761881053887,0.6948620875676473,0.5087608760876088,0.5034837788058719,0.009958176834960702,0.001
6,0.6954646942750463,0.4964319073416776,0.49390428958139304,-0.01098495492719503,0.6952957185831937,0.508100810081008,0.5040262821153926,0.009488796330697916,0.001
7,0.6955838956922855,0.48861074786723957,0.4882838052296777,-0.02134252319700219,0.6948453946547075,0.5089408940894089,0.5035126055178384,0.010223256239740425,0.001
8,0.6946151518971665,0.498698549100193,0.4892539606928726,-0.010075450002845496,0.6951582278266097,0.5080408040804081,0.5036995726766887,0.009162621103763579,0.001
9,0.6948292911427576,0.4951117753284762,0.48902799762522453,-0.015871804998267708,0.6949669565215255,0.5086708670867087,0.5038725319634749,0.010108551575194821,0.001
10,0.6950537674831894,0.49001805840961454,0.4887846991822409,-0.022728131612070077,0.694860162157001,0.508970897089709,0.5036675144373697,0.010368641285189398,0.001
11,0.6947707083989989,0.4858459430848745,0.4857899046628846,-0.027466106342408328,0.6951311907984994,0.5082208220822082,0.5038523790267208,0.009507952511307455,0.001
12,0.694551593102749,0.5079892894949872,0.4637285403963371,0.0013270750849409603,0.6955692903562025,0.5078307830783079,0.5041432085375664,0.009249671862272563,0.001
13,0.694680189561544,0.4892708138738402,0.4893307684565632,-0.021841230705501754,0.6952744568839218,0.5080408040804081,0.5039266593963462,0.009336227043218433,0.001
14,0.6942625705551051,0.48567158602652716,0.474534152778057,-0.02201791826575782,0.6950065701296835,0.5085808580858086,0.5038928023357114,0.010004602366517368,0.001
15,0.6938513693569591,0.4900554206364033,0.4846197916908394,-0.025828752198470327,0.6949575751116781,0.5089408940894089,0.5040997948545458,0.010627837987703934,0.001
16,0.6938606436897374,0.49492496419453264,0.48085699502965246,-0.019827837957912604,0.6950046438159365,0.5086408640864086,0.5039474061588002,0.01012279648912505,0.001
17,0.6937388166691523,0.492857587645557,0.4769070965734413,-0.005515792433472678,0.6948791724262815,0.509000900090009,0.5038272298223767,0.010518240564487033,0.001
