epoch,train_loss,train_accuracy,train_f1,train_mcc,val_loss,val_accuracy,val_f1,val_mcc,learning_rate
1,0.7280847092844406,0.49751541191855037,0.49725669241859954,-0.003616119214429314,0.6949932864218047,0.5082808280828083,0.5027742288640148,0.008823719826030228,0.0005
2,0.7086199964367369,0.4984245594370758,0.49850663247255733,-0.003032491579479246,0.6953833554730271,0.5082208220822082,0.5041862090463377,0.009763501999737694,0.0005
3,0.7020689942551859,0.5022853228719099,0.5015761565206114,0.002506808879922274,0.6961218380566799,0.508010801080108,0.5048759266943134,0.010083820427032627,0.0005
4,0.6999749754959682,0.4974655956161654,0.4974672145358288,-0.004402662562484775,0.6949763243848627,0.5083708370837083,0.5035876935587908,0.009508713009527084,0.0005
5,0.6981629658045259,0.4960333769225979,0.49579808123765046,-0.006633253709847504,0.6950115633733345,0.5085808580858086,0.5038987738966889,0.010008920686028577,0.0005
6,0.6971502742677365,0.49665608070240985,0.49625646608063323,-0.008318363809226384,0.695257432533033,0.5079207920792079,0.5037888175541728,0.009078757975786484,0.0005
7,0.6968634567170773,0.49528613238682356,0.49503573583854676,-0.008100798226720626,0.6949057606133547,0.5087908790879088,0.5037552223928752,0.010185600258845722,0.0005
8,0.6958226396602655,0.5005417522884363,0.4977446448075181,-0.0028839757391285457,0.6950966634533622,0.5080408040804081,0.5035720980504658,0.009067095181756427,0.0005
9,0.6958227408757,0.4977271312036864,0.4957229145756137,-0.00795736185629272,0.6949573583675154,0.508970897089709,0.5041331268460295,0.010691282309392052,0.0005
10,0.6958040778741896,0.4945513419266455,0.493970281764171,-0.012820982074121544,0.6948577138510618,0.5088808880888089,0.5035797089705343,0.010186560193222642,0.0005
11,0.6957012782306791,0.49294476617473065,0.49297312848931346,-0.014671298194788098,0.695112895784956,0.5080708070807081,0.5036692323821049,0.009178214355857996,0.0005
12,0.6953997765697023,0.502609128837412,0.4802769249795067,-0.006097272678579269,0.6953612737583391,0.5075607560756076,0.5035981200148891,0.008480582452340997,0.0005
13,0.6951446495715927,0.49491251011893644,0.49492984965839987,-0.010784582381337936,0.6952787095850165,0.508100810081008,0.5039927663602223,0.009462780651786747,0.0005
