source,target,weight
COTY,EL,0.7604263551360507
COTY,SNA,0.7130734351654595
COTY,ADM,0.6385291864322333
COTY,LB,0.607465223230888
COTY,ORLY,0.6050430461272952
COTY,VMC,0.5509711733489948
COTY,FMC,0.5422433699102219
COTY,BLL,0.5158919579575248
COTY,ROP,0.5069625295809087
COTY,BDX,0.5053553788521759
COTY,PSA,0.5052607143749289
COTY,ICE,0.5018517417453889
COTY,VNO,0.4938862444070134
COTY,MCK,0.49383910062567665
COTY,ZION,0.4933815148922792
COTY,AGN,0.4837888508136793
COTY,BRK.B,0.4812225606218322
COTY,JCI,0.47209339240471393
COTY,ITW,0.4674736142319591
COTY,BLK,0.46492932259828273
COTY,CSRA,
COTY,PYPL,
COTY,HLT,
COTY,FAST,0.4401163701023711
COTY,WRK,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,HPQ,
COTY,HPE,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,HLT,
CSRA,WRK,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,VZ,0.750906054864038
T,XYL,0.7156467525294481
T,PNR,0.7106426989580199
T,ETN,0.6590116690105606
T,ITW,0.6342196019207954
T,AME,0.6311977210671397
T,PX,0.6294375780441079
T,GS,0.6282171330404356
T,PH,0.6244448682626133
T,BRK.B,0.609365469347403
T,IVZ,0.6056473565262298
T,FITB,0.6030814112400568
T,BWA,0.5987390685542431
T,XOM,0.594726168983351
T,AON,0.5935361734809089
T,WFC,0.5912423450820127
T,JPM,0.588740088584809
T,BEN,0.5865921053645848
T,MMM,0.5846980928973649
T,ROK,0.5836304999366474
T,PYPL,
T,HLT,
T,WRK,
T,MAT,0.3902369583755088
T,WLTW,
T,UA,
T,KHC,
T,EVHC,
T,HPQ,
T,EMR,0.5282799139375923
T,HPE,
T,DXC,
T,BHF,
T,AXP,0.383835571503617
T,XLNX,0.4225949103040878
T,DWDP,
T,APTV,
T,FTV,
T,STX,0.47620476075002494
T,DFS,0.5075830336773852
T,BHGE,
UNM,LNC,0.883686656953979
UNM,MET,0.8504561531745323
UNM,STI,0.8057463496418888
UNM,CMA,0.7970333176245287
UNM,NTRS,0.7966999121296966
UNM,BBT,0.7854484612904129
UNM,WFC,0.7841415634977963
UNM,AIG,0.78021411636321
UNM,PFG,0.77963227480243
UNM,PBCT,0.7788744637895434
UNM,MTB,0.7706761207145293
UNM,BAC,0.7686381099832847
UNM,USB,0.7658717568689061
UNM,ZION,0.7570684410240803
UNM,BLK,0.7568847447674848
UNM,RF,0.75494190269146
UNM,JPM,0.7539112301606674
UNM,C,0.7521116993038075
UNM,PNC,0.7490590476825053
UNM,HBAN,0.748276512365692
UNM,PYPL,
UNM,TROW,0.689618325808904
UNM,HLT,
UNM,CMCSA,0.6208340538020357
UNM,CFG,0.6157509581092384
UNM,WRK,
UNM,WLTW,
UNM,FITB,0.7471143950137393
UNM,COO,0.28393307257096534
UNM,UA,
UNM,NUE,0.6028520849072752
UNM,KHC,
UNM,RJF,0.7358649477175397
UNM,EVHC,
UNM,STT,0.6599488406914059
UNM,VIAB,0.6223859137993345
UNM,FLIR,0.5902744265158878
UNM,KEY,0.7402061039403702
UNM,NTAP,0.3957926078822192
UNM,PRU,0.7108409247337428
UNM,HPQ,
UNM,ETN,0.6872517179685291
UNM,HRS,0.4868185830416632
UNM,HPE,
UNM,SCHW,0.6884340032621162
UNM,DXC,
UNM,BHF,
UNM,TWX,0.6643937230225574
UNM,DWDP,
UNM,GRMN,0.4395562318449109
UNM,L,0.7371012672606884
UNM,APTV,
UNM,CTL,0.383283789535618
UNM,FTV,
UNM,AMG,0.668704571062133
UNM,BHGE,
XYL,PNR,0.7260724179867569
XYL,PH,0.6942641963743784
XYL,PX,0.6716000446834708
XYL,HON,0.6637644985945185
XYL,CBS,0.6557820844015588
XYL,GS,0.6497262986818898
XYL,AME,0.6489627196647122
XYL,ROK,0.6411194883701293
XYL,DOV,0.639133269566173
XYL,ITW,0.6372557598438169
XYL,ETN,0.6360444020100207
XYL,CVX,0.6336449671558437
XYL,ZBH,0.6262271218936919
XYL,CAT,0.6174213243764818
XYL,UTX,0.6172490229463649
XYL,VZ,0.6151548124495042
XYL,AYI,0.613447867526142
XYL,TXT,0.6075188975638363
XYL,GPC,0.6055219879391229
XYL,PYPL,
XYL,HLT,
XYL,WRK,
XYL,WLTW,
XYL,UA,
XYL,HSY,0.4821730053345631
XYL,KHC,
XYL,EVHC,
XYL,CMI,0.5850701750467583
XYL,HPQ,
XYL,EMR,0.5177965521620829
XYL,MON,0.5635054608195601
XYL,HPE,
XYL,DXC,
XYL,BHF,
XYL,FLS,0.5743670760262544
XYL,DWDP,
XYL,APTV,
XYL,FTV,
XYL,CCI,0.5220452069126028
XYL,DFS,0.42007208545967745
XYL,BHGE,
AJG,TRV,0.8190261311316964
AJG,MMC,0.7792404004823622
AJG,CB,0.775894285276075
AJG,CINF,0.7587422982835391
AJG,HIG,0.7494726627783601
AJG,AFL,0.7432534431179469
AJG,FISV,0.7369694014655981
AJG,CHD,0.7292145313791608
AJG,TMK,0.7290476822515003
AJG,AON,0.7289352277035052
AJG,ALL,0.719385538893987
AJG,BEN,0.6876132986618075
AJG,CTSH,0.6871961222219669
AJG,NOC,0.683321164060045
AJG,GS,0.6828149584930326
AJG,BRK.B,0.6773730847967478
AJG,LLL,0.6756129770081993
AJG,ISRG,0.6666866508904966
AJG,SPGI,0.6636490378583251
AJG,BLK,0.6606063132122242
AJG,RTN,0.6390566883143578
AJG,PYPL,
AJG,HLT,
AJG,MAR,0.633594539259546
AJG,UPS,0.5247845398965489
AJG,DIS,0.6312984568508034
AJG,PM,0.4335067267621589
AJG,WRK,
AJG,PRGO,0.35974282573352173
AJG,WLTW,
AJG,UA,
AJG,HSY,0.5247365998935448
AJG,GM,0.574285848437901
AJG,KHC,
AJG,IQV,0.5025839410020739
AJG,FDX,0.6504529686000408
AJG,JBHT,0.5521711184251641
AJG,EW,0.634661164788542
AJG,EVHC,
AJG,ZTS,0.6050822261760455
AJG,SJM,0.5024252662917941
AJG,HPQ,
AJG,GPN,0.5880596822885804
AJG,HPE,
AJG,DXC,
AJG,MO,0.5530789091353574
AJG,NWL,0.645830380052239
AJG,BHF,
AJG,BF.B,0.6500856435161169
AJG,STZ,0.6111190784440208
AJG,DWDP,
AJG,AAL,0.4889149205197305
AJG,APTV,
AJG,PKG,0.5279084797737302
AJG,DG,0.5966176506064033
AJG,FTV,
AJG,RHT,0.47387643843647714
AJG,MYL,0.4206790821220647
AJG,BHGE,
AJG,CNC,0.5166118932301026
AJG,AKAM,0.6164894021169464
WFC,BBT,0.9018822658765866
WFC,STI,0.8966963929808554
WFC,PBCT,0.8851295459428822
WFC,MTB,0.8817236443339876
WFC,USB,0.869891862709607
WFC,BLK,0.8605780859384838
WFC,C,0.8527794854836919
WFC,PNC,0.8481503342840324
WFC,HBAN,0.8424348264061741
WFC,ZION,0.8402040552901217
WFC,CMA,0.8377087743811615
WFC,HIG,0.8354281971262079
WFC,BEN,0.8266587758754983
WFC,RF,0.8260851865706086
WFC,KEY,0.823016937569458
WFC,JPM,0.8227954304681784
WFC,MS,0.8087502359552503
WFC,LNC,0.8037683481826804
WFC,AMP,0.7969988907180032
WFC,FITB,0.7954679498383215
WFC,PYPL,
WFC,GPC,0.6732277265527454
WFC,HLT,
WFC,BAC,0.7387688067380205
WFC,DISH,0.6555045641901732
WFC,ALLE,0.5676387868810688
WFC,HRB,0.4790528301372371
WFC,MCK,0.6068666867762995
WFC,CFG,0.6201178339516144
WFC,WRK,
WFC,EXPD,0.6092751862459191
WFC,PFG,0.7885056953171093
WFC,WLTW,
WFC,CF,0.45719457695882376
WFC,IVZ,0.7473852659133468
WFC,TDG,0.4526844081702087
WFC,GS,0.770925657190577
WFC,UA,
WFC,KORS,0.34181554995977587
WFC,EBAY,0.5572989851505588
WFC,RHI,0.6478278314835583
WFC,NUE,0.5724150556040167
WFC,KHC,
