source,target,weight
COTY,COO,0.33434012580357825
COTY,BAC,0.31641726011079757
COTY,CHRW,0.3017270274043986
COTY,MHK,0.29790841978957405
COTY,HAS,0.2815126521998813
COTY,APC,0.28077880105118036
COTY,ULTA,0.27669295414756323
COTY,UAA,0.2640696723472835
COTY,TPR,0.2617435971057117
COTY,M,0.2607774639317329
COTY,RL,0.2593965697812705
COTY,NWL,0.2588345722902958
COTY,COST,0.2554405473487216
COTY,C,0.2554227396830175
COTY,MAA,0.2517899388739863
COTY,MAT,0.24768197453873977
COTY,JWN,0.2469980995048937
COTY,PPL,0.24065487201612462
COTY,YUM,0.24055463254579826
COTY,CB,0.23944839020764866
COTY,CSRA,
COTY,QRVO,
COTY,PYPL,
COTY,SYF,
COTY,HLT,
COTY,CFG,
COTY,WRK,
COTY,NAVI,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,GOOG,
COTY,INFO,
COTY,HPQ,
COTY,HPE,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,SYF,
CSRA,HLT,
CSRA,CFG,
CSRA,WRK,
CSRA,NAVI,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,GOOG,
CSRA,INFO,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,VZ,0.7475338508782279
T,TAP,0.602327673973785
T,TROW,0.5846809471562006
T,COST,0.5649501770499691
