source,target,weight
COTY,AES,0.6382654227666092
COTY,IT,0.5201025158128513
COTY,MGM,0.5042053101795295
COTY,PFG,0.4669784945939608
COTY,PKI,0.4668792929672276
COTY,MA,0.46531579802424666
COTY,DHI,0.4620978627319475
COTY,SCHW,0.4575943719847077
COTY,CHTR,0.45122409438077143
COTY,PRU,0.45004436783306684
COTY,JPM,0.4490871598527615
COTY,LEG,0.4486975378356441
COTY,GS,0.44713730560778386
COTY,EL,0.4462893289910317
COTY,CELG,0.4435335526955364
COTY,AFL,0.4428155414334962
COTY,LEN,0.4415762982421888
COTY,UNM,0.4410903796625561
COTY,WRK,0.43937058971546955
COTY,IP,0.4382170036881219
COTY,CSRA,0.2428957095731266
COTY,HLT,
COTY,UA,
COTY,EVHC,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,KR,0.29421297794444523
CSRA,CLX,0.2672011873708728
CSRA,SPG,0.26004862387119226
CSRA,SJM,0.25339020881554614
CSRA,CHD,0.2516740548406059
CSRA,HRL,0.24976548352607308
CSRA,CPB,0.24736898629525747
CSRA,BF.B,0.2468940922940477
CSRA,GLW,0.22677786468019343
CSRA,STZ,0.2217438974931454
CSRA,GGP,0.221562452665906
CSRA,WEC,0.21900672752796552
CSRA,SO,0.2072498908669823
CSRA,ANDV,0.20535669285722155
CSRA,AEP,0.20300174004573018
CSRA,GPS,0.19949682625945503
CSRA,LLY,0.19537881362746826
CSRA,CHRW,0.1918057332173469
CSRA,UAA,0.19168381431426784
CSRA,HLT,
CSRA,UA,
CSRA,EVHC,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,VZ,0.8232562725541325
T,MDLZ,0.7579490565026261
T,AMP,0.7440861279480115
T,BRK.B,0.7405371755457298
T,PGR,0.7362528096557892
T,MKC,0.7291368039354488
T,GD,0.7247628449935043
T,CB,0.722200610206994
T,PFG,0.7220394107362172
T,PM,0.7142730815581805
T,AIZ,0.7139149010147007
T,CSCO,0.712516955249352
T,ACN,0.7124584021403592
T,MA,0.7122239447743236
T,DHR,0.7119900462721266
T,PEP,0.7079922809136677
T,COL,0.7073072836844222
T,DFS,0.7050986989459582
T,L,0.7015826453923855
T,CA,0.7014762377109431
T,ORLY,0.6399362000013702
T,HLT,
T,ULTA,0.5365112596416073
T,HST,0.5612399509941758
T,HRB,0.5256934715728501
T,IBM,0.5873354803721811
T,CMCSA,0.695636038692393
