source,target,weight
COTY,SEE,0.5307458102594846
COTY,MCHP,0.46321426623012063
COTY,XRX,0.4533305317866577
COTY,ZTS,0.4313908890006628
COTY,TRIP,0.41819654989582555
COTY,MGM,0.3960831176810928
COTY,KMI,0.39229860076789697
COTY,CINF,0.3793640673785849
COTY,NOV,0.37565521225792
COTY,CRM,0.36080089103515167
COTY,ULTA,0.36032711691927005
COTY,HST,0.3542926851730627
COTY,GM,0.34084223001154723
COTY,EL,0.33823153700899417
COTY,PSX,0.33626964725585556
COTY,INFO,0.33518426690235015
COTY,APD,0.33490403070667757
COTY,CMA,0.3308937052653365
COTY,MAS,0.3276481382686272
COTY,HP,0.3261153464276271
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,BHGE,
CSRA,AKAM,0.6087618335750087
CSRA,AIZ,0.5861670382310952
CSRA,LEG,0.523125043747909
CSRA,GILD,0.5115591728033502
CSRA,JEC,0.5094928808175265
CSRA,ICE,0.5073508258476132
CSRA,ADSK,0.49836665723005813
CSRA,TEL,0.4679028111347924
CSRA,PRU,0.42989575663830415
CSRA,FBHS,0.42961792768680884
CSRA,LNC,0.4274224297619339
CSRA,PWR,0.4252910264667318
CSRA,UTX,0.4228829070212416
CSRA,LKQ,0.4210710844214976
CSRA,CMI,0.41958486478150253
CSRA,MAS,0.41554913360976065
CSRA,FLR,0.4151945464705269
CSRA,PKG,0.4032542104072401
CSRA,BLK,0.4013701274372999
CSRA,CBS,0.39973753495460235
CSRA,HPE,0.31511614266228943
CSRA,BHF,
CSRA,NVDA,0.3938731446039359
CSRA,DWDP,
CSRA,GRMN,0.39216877268372863
CSRA,APTV,
CSRA,BHGE,
T,VZ,0.5628142130090552
T,TWX,0.48369398281371423
T,MDT,0.4194372286372814
T,CDNS,0.3951990515743001
T,BDX,0.39104758585899824
T,EW,0.38369485338118936
T,DGX,0.3833706074938289
T,SYK,0.3811608179857791
T,JNJ,0.3776130499245161
T,TMO,0.3765172932087528
T,HOLX,0.3723862775221366
T,MMM,0.3593234562734311
T,PFE,0.34344813575466865
T,SNA,0.34261583789582306
T,A,0.3335260351024076
T,ABT,0.33056002461343725
T,BAX,0.33033747296634003
T,LLY,0.32643527439100445
T,WAT,0.3172112145282958
T,CLX,0.3134211493582509
T,INCY,0.31269229446691654
T,BHF,
T,DWDP,
T,APTV,
T,BHGE,
UNM,PNC,0.8958571050014891
UNM,LNC,0.8900629095240004
UNM,STI,0.8880018639905151
UNM,PRU,0.8846445766680475
UNM,ZION,0.8792129798835665
UNM,BBT,0.8697027463218797
UNM,RF,0.8658983595515866
UNM,TMK,0.8607851933189109
UNM,KEY,0.8581622902465069
UNM,FITB,0.850892818498393
UNM,CMA,0.8482337615348526
UNM,RJF,0.8441249604593708
UNM,BAC,0.8435720875932579
UNM,MTB,0.8404536767083067
UNM,CFG,0.8401556913944125
UNM,PFG,0.8289132342191599
UNM,JPM,0.8286671877236444
UNM,PBCT,0.8275135882769169
UNM,HBAN,0.8236865680328675
UNM,USB,0.8218965142370295
UNM,AJG,0.5674487931363777
