source,target,weight
COTY,CSRA,
COTY,T,
COTY,UNM,
COTY,XYL,
COTY,AJG,
COTY,WFC,
COTY,AIV,
COTY,LLY,
COTY,ZION,
COTY,ATVI,
COTY,PDCO,
COTY,QRVO,
COTY,AME,
COTY,AVGO,
COTY,XOM,
COTY,SPGI,
COTY,RTN,
COTY,VRTX,
COTY,WYN,
COTY,DVN,
COTY,PYPL,
COTY,SYF,
COTY,FOXA,
COTY,HLT,
COTY,ALLE,
COTY,CFG,
COTY,WRK,
COTY,NAVI,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,GOOG,
COTY,INFO,
COTY,FOX,
COTY,HPQ,
COTY,HPE,
COTY,NWS,
COTY,DXC,
COTY,BHF,
COTY,NWSA,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,SYF,
CSRA,FOXA,
CSRA,HLT,
CSRA,ALLE,
CSRA,CFG,
CSRA,WRK,
CSRA,NAVI,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,GOOG,
CSRA,INFO,
CSRA,FOX,
CSRA,HPQ,
CSRA,HPE,
CSRA,NWS,
CSRA,DXC,
CSRA,BHF,
CSRA,NWSA,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,PG,0.7590416754977919
T,MSI,0.7235880734883448
T,EW,0.6816837907566337
T,TROW,0.6449666850152956
T,AMGN,0.6035427074274383
T,TSS,0.5947817577436268
T,SJM,0.5930133925493393
T,RHI,0.5899689267317004
T,JNJ,0.5772015779072046
T,CL,0.575524246809838
T,CELG,0.5695439360285176
T,CTL,0.5542023534251906
T,KMB,0.5519394474894218
T,CHD,0.5409714325868827
T,PEP,0.5324075536533672
T,SO,0.5194029626030069
T,GIS,0.5022945090548642
T,LLY,0.5013642062284039
T,CLX,0.5001019622230453
T,K,0.48774317274855483
T,QRVO,
T,PYPL,
T,SYF,
T,FOXA,
T,HLT,
T,ALLE,
T,CFG,
T,WRK,
T,NAVI,
T,WLTW,
T,UA,
T,KHC,
T,EVHC,
T,GOOG,
T,INFO,
T,FOX,
T,ABT,0.4472680426248513
T,HPQ,
T,JNPR,0.40781251917807315
T,VZ,0.4840061453353554
T,HPE,
T,NWS,
T,DXC,
T,BHF,
T,NWSA,
T,DWDP,
T,HUM,0.28655790159685424
T,APTV,
T,FTV,
T,BHGE,
UNM,TMK,0.8606586265438303
UNM,PFG,0.8294155151161021
UNM,AMP,0.7655203221336838
UNM,BK,0.7637916521240391
UNM,BLK,0.7578684728753886
UNM,BEN,0.7568697335221156
UNM,IFF,0.7551091234831513
UNM,AMG,0.7507341753647381
UNM,LNC,0.7418504297481862
UNM,HBAN,0.7393966637132436
UNM,CINF,0.7371589597727736
UNM,FISV,0.7342756388183248
UNM,LEG,0.732891911301348
UNM,ZION,0.72419087940997
UNM,AME,0.7200053016125101
UNM,RF,0.7171288333052368
UNM,WAT,0.7148710861820485
UNM,BBT,0.7093667989744254
UNM,MET,0.7090022462875831
UNM,NTRS,0.7025159206293018
UNM,QRVO,
UNM,PYPL,
UNM,VRSK,0.5961332152508197
UNM,XRAY,0.6574359438991513
UNM,SYF,
UNM,FOXA,
UNM,HLT,
UNM,MAR,0.6976289377752446
UNM,UPS,0.6256423671587814
UNM,ALLE,
UNM,MKC,0.655883543709708
UNM,HST,0.6122172057096736
UNM,WYNN,0.6298036729631551
UNM,PM,0.49502135844355094
UNM,CFG,
UNM,OKE,0.472857662572217
UNM,WRK,
UNM,HES,0.5794631279799908
UNM,MAT,0.5918823314008209
UNM,KMX,0.6819012474983663
UNM,NAVI,
UNM,WLTW,
UNM,IVZ,0.6831561804771522
UNM,TDG,0.6636846186669175
UNM,GOOGL,0.5537635296134017
UNM,BWA,0.6755869239444324
UNM,IPG,0.6533472946891179
UNM,INCY,0.5113044262511394
UNM,NSC,0.6839646563114127
UNM,UA,
UNM,AIZ,0.5923562132703032
UNM,SNPS,0.6426353123818584
UNM,CBG,0.6494622425544615
UNM,KHC,
UNM,ANTM,0.5693400072603586
UNM,EVHC,
UNM,HON,0.6832166009347383
UNM,TPR,0.47738637691078395
UNM,TSN,0.4644424095158299
UNM,ALL,0.6881307996907776
UNM,GOOG,
UNM,INFO,
UNM,RE,0.6520125781420472
UNM,FOX,
UNM,VRSN,0.5342002813817178
UNM,KEY,0.6834535044038283
UNM,C,0.6713851585110291
UNM,PRU,0.6951452203534338
UNM,HPQ,
UNM,INTC,0.5148644025615069
UNM,F,0.6750552942005147
UNM,HRL,0.5959835177389696
UNM,UHS,0.49733900210172555
UNM,SYK,0.6007077175240891
UNM,ICE,0.6234224607486593
UNM,FIS,0.5522739040874327
UNM,PGR,0.6235141494892316
UNM,ALK,0.5490737998774803
UNM,MGM,0.5622772909203542
UNM,PAYX,0.6671569745831087
UNM,HPE,
UNM,HOG,0.6748970401092333
UNM,NWS,
UNM,LEN,0.5902272211521458
UNM,DXC,
UNM,HII,0.5680909118940127
UNM,MO,0.5581241004262503
UNM,KMI,0.584817204935102
UNM,SYMC,0.5798817219571186
UNM,NWL,0.6439072527711049
UNM,DRI,0.620126888659322
UNM,BHF,
UNM,AXP,0.6193077355555884
UNM,BF.B,0.629675966877981
UNM,AES,0.6184637386778084
UNM,JPM,0.6287487952276031
UNM,NWSA,
UNM,SRCL,0.6691166503021244
UNM,DWDP,
UNM,HIG,0.6836409429746615
UNM,AFL,0.5597977461203582
UNM,ANSS,0.4557399256985
UNM,JCI,0.6369304966899694
UNM,APTV,
UNM,PKG,0.6308819539481797
UNM,ADP,0.634920710749573
UNM,FTV,
UNM,TXN,0.6509307376816579
UNM,CMA,0.6863685892077894
UNM,ESRX,0.46707528897828693
UNM,CI,0.521744337421584
UNM,SYY,0.66387962399352
UNM,WDC,0.5280306801523547
UNM,BHGE,
UNM,CNC,0.4492210417233146
XYL,ITW,0.6935658725213402
XYL,DOV,0.6501468407282706
XYL,SNA,0.6466745373462851
XYL,BEN,0.636020154721379
XYL,TMK,0.6198495744497748
XYL,JEC,0.6127049180822195
XYL,PNR,0.6105609290405816
XYL,CMI,0.6083372382754691
XYL,EMR,0.5967268179367835
XYL,WAT,0.5966572738463534
XYL,PFG,0.5929083432132466
XYL,L,0.5912708543172867
XYL,FMC,0.5897313799642829
XYL,BWA,0.5844572454223392
XYL,ZION,0.5839252798112299
XYL,BLK,0.583882622461993
XYL,IR,0.5803725506526854
XYL,FLS,0.5788593784229725
XYL,JCI,0.5787532123546996
XYL,ETN,0.5662740492690244
XYL,QRVO,
XYL,PYPL,
XYL,SYF,
XYL,FOXA,
XYL,HLT,
XYL,ALLE,
XYL,EXC,0.45519627181540256
XYL,CFG,
XYL,WRK,
XYL,NAVI,
XYL,WLTW,
XYL,UA,
XYL,BXP,0.46200001423379683
XYL,KHC,
XYL,EVHC,
XYL,TPR,0.5040873433403318
XYL,GOOG,
XYL,INFO,
XYL,FOX,
XYL,HPQ,
XYL,HPE,
XYL,NWS,
XYL,DXC,
XYL,BHF,
XYL,NWSA,
XYL,DWDP,
XYL,APTV,
XYL,CTL,0.5297343718575928
XYL,FTV,
XYL,ROST,0.5105950451160743
XYL,BHGE,
AJG,CB,0.6567441057406704
AJG,TRV,0.6166592593227442
AJG,MMC,0.6116692106650995
AJG,HSIC,0.6046481680873351
AJG,FBHS,0.6033003172923473
AJG,AON,0.6030935531427353
AJG,PFG,0.6007680023170482
AJG,CBOE,0.5999854438420663
AJG,PDCO,0.5983369674091299
AJG,CLX,0.5958196929593542
AJG,DOV,0.5939984152420108
AJG,URI,0.592554255294085
AJG,AMP,0.5903222052588405
AJG,SRCL,0.588496085712862
AJG,LEG,0.5870703360675671
AJG,F,0.5843921710940689
AJG,PCAR,0.5822672531702082
AJG,JWN,0.574851818021819
AJG,ALL,0.5744573895467893
AJG,MAS,0.5702789052907896
AJG,QRVO,
AJG,PYPL,
AJG,SYF,
AJG,FOXA,
AJG,HLT,
AJG,ALLE,
AJG,CFG,
AJG,WRK,
AJG,DGX,0.5253065479884438
AJG,NAVI,
AJG,WLTW,
AJG,UA,
AJG,KHC,
AJG,IQV,0.23926067625143943
AJG,EVHC,
AJG,GOOG,
AJG,INFO,
AJG,FOX,
AJG,HPQ,
AJG,LKQ,0.4904430447525896
AJG,UHS,0.5086422368076623
AJG,HPE,
AJG,NWS,
AJG,DXC,
AJG,BHF,
AJG,NWSA,
AJG,DWDP,
AJG,HCA,0.536845034015911
AJG,APTV,
AJG,FTV,
AJG,BHGE,
WFC,RF,0.6807496344693196
WFC,KEY,0.6707472804882719
WFC,HBAN,0.6410209444079248
WFC,FLS,0.6289187449312055
WFC,CNP,0.6232487464745677
