source,target,weight
COTY,MCHP,0.5662693827612985
COTY,SEE,0.535706572337611
COTY,XRX,0.3989880286976231
COTY,ZTS,0.38955221016036307
COTY,APD,0.3886163071523663
COTY,TRIP,0.3861869852487945
COTY,NOV,0.36512076144811606
COTY,GPN,0.3612144188861064
COTY,KMI,0.36055476626721233
COTY,BMY,0.3579564688767754
COTY,MGM,0.35606928004156785
COTY,INFO,0.34600326048928703
COTY,MAS,0.3402231602419024
COTY,ADI,0.33794747889368915
COTY,CMA,0.3364790158316532
COTY,EXPE,0.33489761379766564
COTY,PNR,0.3334713028604168
COTY,STT,0.32397157630510026
COTY,BK,0.323542880887775
COTY,CRM,0.32120950970595824
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,BHGE,
CSRA,JEC,0.561815957652512
CSRA,GILD,0.5537296148172027
CSRA,TEL,0.5273791557381098
CSRA,ICE,0.526980853764998
CSRA,LEG,0.5034841232694454
CSRA,ADSK,0.4918890761034178
CSRA,PWR,0.4864137034042922
CSRA,EA,0.47612929492624484
CSRA,AIZ,0.46987700854678305
CSRA,UTX,0.4625850601362883
CSRA,FLR,0.46166140074529355
CSRA,LKQ,0.45108313896645175
CSRA,AKAM,0.44958610899064433
CSRA,PNR,0.43464859206709255
CSRA,JCI,0.4340325803827092
CSRA,CBOE,0.4243877364739372
CSRA,BA,0.41872650849996923
CSRA,XYL,0.40912963780419254
CSRA,PRU,0.4089606467425465
CSRA,BLK,0.407858744676341
CSRA,ATVI,0.32874121739029794
CSRA,INCY,0.24678507961710242
CSRA,HPE,0.3053151766847839
CSRA,BHF,
CSRA,NVDA,0.37937449168892834
CSRA,DWDP,
CSRA,GRMN,0.38235541425299346
CSRA,APTV,
CSRA,CTL,0.35316094154694927
CSRA,BHGE,
T,VZ,0.6317065957533372
T,SYK,0.44327495071810175
T,TWX,0.43754745691553104
T,VAR,0.41356777347264123
T,ADP,0.3941940909745315
T,WYN,0.3921408984910722
T,ABT,0.3885035765558707
T,JNJ,0.3729671054974533
T,APC,0.3704310268905822
T,BAX,0.3613013196449467
T,NRG,0.35781844228578286
T,PFE,0.3459467158985565
T,TMO,0.34134185046978144
T,PEP,0.3379522413517825
T,FOXA,0.33734763381339433
T,FOX,0.33648715492433934
T,SNI,0.33215302998649127
T,ALLE,0.3280177048058813
T,TSS,0.32785156714010333
T,CBS,0.32537247074462033
T,INCY,0.23721716336900406
T,DXC,0.23010930716451938
T,BHF,
T,DWDP,
T,APTV,
T,BHGE,
UNM,LNC,0.9112561137733315
UNM,PNC,0.8886958981237183
UNM,STI,0.8856016067856534
UNM,PRU,0.8842565722101983
UNM,AMP,0.8669177609686338
UNM,TMK,0.8601535519696323
UNM,BAC,0.8582627173502234
UNM,BBT,0.8514588381767222
UNM,HBAN,0.8481101423870616
UNM,MTB,0.8455102018934235
UNM,JPM,0.8443837392301216
UNM,PFG,0.8443217134111083
UNM,FITB,0.843015263120514
UNM,RF,0.8422680318095105
UNM,RJF,0.8387469478116515
UNM,USB,0.8382372331628188
UNM,CFG,0.8381907032032598
UNM,CMA,0.8310906666018183
UNM,KEY,0.8283868373642458
UNM,MET,0.8224864012308197
UNM,AJG,0.6326147199866419
UNM,WFC,0.791944567977826
UNM,ZION,0.8045410691986558
UNM,QRVO,0.5292646275915364
UNM,SPGI,0.49986755522517834
UNM,AET,0.4773716905302452
UNM,MSFT,0.6066880321545385
UNM,CELG,0.4151819240382344
UNM,WRK,0.5024147862809855
UNM,PBCT,0.8222519811420242
UNM,NAVI,0.5604691198688584
UNM,VLO,0.4034980502507049
UNM,IVZ,0.5901888847835152
UNM,UAL,0.5113265795331381
UNM,TDG,0.44470173063222695
UNM,AAPL,0.5531311589187053
UNM,GS,0.8020571561084825
UNM,NSC,0.5700316000662354
UNM,CBOE,0.4632021770978157
UNM,MS,0.8223237495702654
UNM,EMN,0.670003776854268
UNM,NUE,0.5787603792859273
UNM,BA,0.48703763452377996
UNM,NTRS,0.8057692436566792
UNM,QCOM,0.5250480317495084
UNM,STT,0.6449385859574854
UNM,NOC,0.47340251732529276
UNM,BLK,0.7254175378883791
UNM,ALL,0.551191088362061
UNM,INFO,0.5304090608183828
UNM,BRK.B,0.7332771441612674
UNM,ADI,0.46237715156363723
UNM,FLIR,0.38827775082388494
UNM,AMZN,0.4420014443014597
UNM,NTAP,0.5768804961703508
UNM,C,0.812984842927732
UNM,MNST,0.2504745805432539
UNM,HPQ,0.33654211476783613
UNM,GPN,0.4308024767267167
UNM,PWR,0.66411971525218
UNM,ICE,0.4875029253056007
UNM,DE,0.5488934845794995
UNM,CINF,0.6316135441151801
UNM,MMC,0.5457253964619927
UNM,MA,0.6714296717371423
UNM,BK,0.7232917556492611
UNM,BHF,
UNM,AXP,0.6869665433678491
UNM,DWDP,
UNM,AAL,0.5037346334880163
UNM,HIG,0.5673992289784205
UNM,AFL,0.6571556525716985
UNM,ANSS,0.5990839446748532
UNM,L,0.7627346155761091
UNM,APTV,
UNM,PKG,0.44643039044832145
UNM,LUK,0.6514907654050927
UNM,DAL,0.5411191415792808
UNM,PH,0.6199274254088009
UNM,PCLN,0.350731993279175
UNM,DFS,0.7433246980350195
UNM,WDC,0.5606044865998326
UNM,BEN,0.5865069773437871
UNM,COF,0.789641752770378
UNM,BHGE,
UNM,NDAQ,0.652135152509778
XYL,ROK,0.6979243483546564
XYL,FDX,0.6595834071824688
XYL,TEL,0.6474262741983511
XYL,EXPD,0.6297643714747955
XYL,UNP,0.622544633028846
XYL,JCI,0.6146132580902092
XYL,PH,0.613644237439627
XYL,PWR,0.6117230929030488
XYL,TMK,0.5926267677893353
XYL,AOS,0.5873489222120464
XYL,PFG,0.5848679959057608
XYL,ITW,0.5769026486207754
XYL,DOV,0.569134451403939
XYL,PNR,0.5687063165462596
XYL,NUE,0.5686534585137805
XYL,NSC,0.5641483714711902
XYL,FLR,0.5611909010159974
XYL,TXT,0.5608815387825334
XYL,UTX,0.5599813789299
XYL,CAT,0.559312111146007
XYL,QRVO,0.5397877724646226
XYL,AVGO,0.5200719935608015
XYL,CHTR,0.3823353124931426
XYL,WM,0.4431659830508862
XYL,UPS,0.5324068957757204
XYL,FAST,0.4643758935671107
XYL,LLL,0.521459262683623
XYL,ADBE,0.5227378468311398
XYL,ACN,0.35597708311568393
XYL,JBHT,0.5260461551697461
XYL,AMD,0.39601096429284754
XYL,SWK,0.4827548734539921
XYL,MU,0.4303623742231799
XYL,EMR,0.5469454737554141
XYL,MON,0.3703812066158957
XYL,FMC,0.35780494494981624
XYL,SYMC,0.44608023035605665
XYL,BHF,
XYL,DWDP,
XYL,MOS,0.5131521190693882
XYL,APTV,
XYL,CSX,0.493595317461339
XYL,LRCX,0.43491022445315924
XYL,WDC,0.5035720473023507
XYL,COL,0.5049970943945872
XYL,URI,0.5361423922718999
XYL,IT,0.4615861196988742
XYL,BHGE,
AJG,AON,0.7532797840581736
AJG,MMC,0.7498795028714653
AJG,WLTW,0.7219888902305515
AJG,EXPD,0.7158646709749629
AJG,TMK,0.686526868076564
AJG,XL,0.6579136689733561
AJG,CB,0.6571975671202998
AJG,APH,0.656852810988622
AJG,PFG,0.6333520838396409
AJG,CINF,0.6291607339276847
AJG,LUK,0.6222681400365888
AJG,PBCT,0.6192096432981632
AJG,EMN,0.6188695040996028
AJG,HBAN,0.6071336530601222
AJG,USB,0.6057673286395749
AJG,ROK,0.6020687589579079
AJG,JPM,0.5968061188633784
AJG,MTB,0.5958424256944755
AJG,BRK.B,0.5956620881143683
AJG,PDCO,0.5243691378969948
AJG,QRVO,0.541221934873785
AJG,XRAY,0.4874664283952127
AJG,GLW,0.5333736036825972
AJG,GPC,0.4562956584281827
AJG,WBA,0.4402642832774527
AJG,CLX,0.3746848579592738
AJG,MAT,0.30702173326011917
AJG,CA,0.5031178537973099
AJG,ADBE,0.44263612938184416
AJG,SNPS,0.41752931268392895
AJG,SWKS,0.5679508760294689
AJG,AMD,0.35724643638449455
AJG,TSN,0.4256772710518357
AJG,NTAP,0.5184284962742889
AJG,PKI,0.49681042866299213
AJG,FIS,0.3863017472311682
AJG,PGR,0.5207141742308278
AJG,IFF,0.3981068573069419
AJG,RMD,0.5102233434386964
AJG,ADM,0.36738704116079063
AJG,SYMC,0.4159735662706535
AJG,BHF,
AJG,ECL,0.5422429924827448
AJG,AOS,0.5861040116117289
AJG,CVS,0.46518958893996387
AJG,TRV,0.5274960702187087
AJG,DWDP,
AJG,MOS,0.4868910674052537
AJG,APTV,
AJG,ARNC,0.5137930861803343
AJG,FISV,0.5165992890343815
AJG,BHGE,
WFC,USB,0.86001117041131
WFC,BBT,0.845265769152973
WFC,BAC,0.833943550245991
WFC,MTB,0.830848095355579
WFC,CFG,0.8253646451715139
WFC,STI,0.8210490390770321
WFC,C,0.813966133343318
WFC,JPM,0.8130261547520726
WFC,PRU,0.8123099661194564
WFC,CMA,0.8122801688806566
WFC,LNC,0.8059230244011968
WFC,HBAN,0.8039678418951337
WFC,PNC,0.7998843102685144
WFC,SCHW,0.7996240493316352
WFC,MET,0.7979234501472992
WFC,TMK,0.7932424483581856
WFC,KEY,0.7858654128998785
WFC,FITB,0.7828827969440316
WFC,PBCT,0.7807813863314699
WFC,XOM,0.47578392511807194
WFC,SPGI,0.5111092847810672
WFC,AET,0.4648582011037366
WFC,XRAY,0.43316837836769373
WFC,V,0.6290455382235863
WFC,ADS,0.5860148047225989
WFC,DGX,0.49417860817980147
WFC,IVZ,0.5723637697277667
WFC,AIZ,0.5459366094435347
WFC,SNA,0.569822822436593
WFC,EXPE,0.4850137060959466
WFC,NTRS,0.7660190688622356
WFC,BLK,0.6909078677203913
WFC,MU,0.35295062052493426
WFC,CCL,0.4366397169966834
WFC,BRK.B,0.7748273393888081
WFC,ICE,0.5338519780223361
WFC,CRM,0.5211285264137248
WFC,MMC,0.5406788849396343
WFC,ETFC,0.6617271156811162
WFC,MA,0.6610853674541978
WFC,NWS,0.4416439857256692
WFC,BHF,
WFC,TWX,0.38876022364010476
WFC,AXP,0.7288994876762674
WFC,CME,0.6272776856726187
WFC,EFX,0.42549932518059824
WFC,DWDP,
