source,target,weight
COTY,FOX,0.5305884334551723
COTY,FOXA,0.5046909757744497
COTY,HCP,0.48606339691245015
COTY,AMT,0.48280537644330734
COTY,LEN,0.4814177317128652
COTY,SLG,0.480399818901478
COTY,FRT,0.47768436838308714
COTY,VTR,0.4599333140299737
COTY,SPG,0.45810963110989866
COTY,KMX,0.45229578634575446
COTY,PM,0.44943461038838467
COTY,PNR,0.44534376091619093
COTY,BXP,0.44292096834751055
COTY,AOS,0.441981318934411
COTY,VNO,0.4403407213641599
COTY,PHM,0.435201389263799
COTY,DRE,0.4316257948462192
COTY,CHTR,0.4249759042362697
COTY,KORS,0.4236568442902818
COTY,ADI,0.42285327448782317
COTY,CSRA,
COTY,QRVO,
COTY,PYPL,
COTY,SYF,
COTY,HLT,
COTY,ALLE,
COTY,CFG,
COTY,WRK,
COTY,NAVI,
COTY,WLTW,
COTY,UA,
COTY,KHC,
COTY,EVHC,
COTY,GOOG,
COTY,INFO,
COTY,HPQ,
COTY,HPE,
COTY,NWS,0.24769694257321623
COTY,DXC,
COTY,BHF,
COTY,NWSA,0.3395327386891122
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,PYPL,
CSRA,SYF,
CSRA,HLT,
CSRA,ALLE,
CSRA,CFG,
CSRA,WRK,
CSRA,NAVI,
CSRA,WLTW,
CSRA,UA,
CSRA,KHC,
CSRA,EVHC,
CSRA,GOOG,
CSRA,INFO,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,CTL,0.7212084671494573
T,MSI,0.6831953747933441
T,VZ,0.6574653275780926
T,PG,0.6294138084184604
T,EW,0.6126835338583353
T,TROW,0.6024373242406075
T,CLX,0.5935387704969526
T,SO,0.5838555526877547
T,TSS,0.5796364235264259
T,BF.B,0.5668522486107307
T,BXP,0.5647747604079322
T,GIS,0.554103348223817
T,CL,0.5310265111950199
T,AMGN,0.5295743592726807
T,WYN,0.527316624660062
T,CHD,0.5242443133073073
T,ARE,0.5229752955114997
T,NSC,0.5225970709964725
T,EQIX,0.5198520764271792
T,K,0.5152879106781301
T,QRVO,
T,PYPL,
T,SYF,
T,HLT,
T,ALLE,
T,CFG,
T,WRK,
T,NAVI,
T,WLTW,
T,UA,
T,KHC,
T,EVHC,
T,GOOG,
T,INFO,
T,HPQ,
T,JNPR,0.37042692615306694
T,HPE,
T,DXC,
T,BHF,
T,DWDP,
T,APTV,
T,FTV,
T,BHGE,
UNM,MET,0.8177057897764456
UNM,TMK,0.812813127516458
UNM,HIG,0.7734627154055617
UNM,BBT,0.7515229471247662
UNM,MTB,0.7384393229630629
UNM,LNC,0.7289546810657236
UNM,ALL,0.7180440487186625
UNM,ETFC,0.7117353314059197
UNM,NTRS,0.7060355789776683
UNM,PRU,0.6959212516881365
UNM,HBAN,0.6952326287706795
UNM,CINF,0.6810521045530874
UNM,PFG,0.6726346045178733
UNM,KEY,0.6707835233941298
UNM,COF,0.6610188887226061
UNM,AMP,0.6540527242627929
UNM,RF,0.6459621710617827
UNM,CMA,0.645488256156706
UNM,BRK.B,0.6439586742979694
UNM,C,0.6437273143688269
UNM,ZION,0.6188941868206307
UNM,QRVO,
UNM,PYPL,
UNM,SYF,
UNM,HLT,
UNM,ALLE,
UNM,CFG,
UNM,WRK,
UNM,PBCT,0.5226658619691718
UNM,NAVI,
UNM,WLTW,
UNM,UA,
UNM,PNC,0.6313628197808034
UNM,KHC,
UNM,EVHC,
UNM,GOOG,
UNM,INFO,
UNM,RE,0.5802389221642706
UNM,HPQ,
UNM,HPE,
UNM,DXC,
UNM,BHF,
UNM,CME,0.5278310112827451
UNM,DWDP,
UNM,APTV,
UNM,FTV,
UNM,CI,0.5464403058413709
UNM,BHGE,
XYL,ITW,0.7322384696944667
XYL,AME,0.7131702452504962
XYL,IR,0.6968258731974831
XYL,JBHT,0.6850288128722312
XYL,GM,0.6845068841881601
XYL,C,0.6809322776325825
XYL,L,0.6798384247350054
XYL,BWA,0.6761946129973103
XYL,AVY,0.6744308522163353
XYL,JCI,0.6699392340040224
XYL,JEC,0.6692147036433977
XYL,NOC,0.668105459739133
XYL,UTX,0.6631554892064957
XYL,IFF,0.6587102892257841
XYL,BK,0.6582251943163595
XYL,A,0.654346727816781
XYL,SNA,0.6542977291596677
XYL,PGR,0.6510925480390591
XYL,CINF,0.6498961774718753
XYL,GS,0.6487692743799435
XYL,QRVO,
XYL,SPGI,0.602050719651987
XYL,PYPL,
XYL,VRSK,0.6211225897507805
XYL,SYF,
XYL,HLT,
XYL,UNH,0.46524529535883297
XYL,ALLE,
XYL,CFG,
XYL,WRK,
XYL,NAVI,
XYL,WLTW,
XYL,UA,
XYL,KHC,
XYL,EVHC,
XYL,TSN,0.44687231739232597
XYL,GOOG,
XYL,INFO,
XYL,FLIR,0.5766664783406077
XYL,CMI,0.6162124633928348
XYL,HPQ,
XYL,GPN,0.574235364381362
XYL,HPE,
XYL,HOG,0.6124892008545302
XYL,DXC,
XYL,BHF,
XYL,DWDP,
XYL,AAL,0.45343213195719184
XYL,APTV,
XYL,FTV,
XYL,BHGE,
XYL,UAA,0.5661995196683144
AJG,MMC,0.770244285636332
AJG,AMP,0.7436315159240438
AJG,AON,0.7295929540592443
AJG,BF.B,0.7295508998216456
AJG,BEN,0.71638653514345
AJG,CL,0.7085110705478062
AJG,WAT,0.704605748493292
AJG,UTX,0.699785896472967
AJG,BLK,0.6987221139184999
AJG,VNO,0.6971732420489611
AJG,CINF,0.6970292614164318
AJG,CAG,0.6956204189730452
AJG,HSIC,0.6890927545904099
AJG,LEG,0.6877327186390517
AJG,BRK.B,0.6861451308692552
AJG,TWX,0.6834751147926433
AJG,HON,0.682143815242188
