source,target,weight
COTY,NWS,0.49842478920367356
COTY,NWSA,0.4871184565743892
COTY,ZBH,0.4792068276240132
COTY,DOV,0.4780322806589186
COTY,ORLY,0.4563054941508001
COTY,PKI,0.44322505193567185
COTY,CTSH,0.43985227813809247
COTY,KMX,0.4359124747453143
COTY,MTD,0.43174500551801004
COTY,GT,0.43093582961280075
COTY,PHM,0.42979858816958966
COTY,EL,0.4214523990388207
COTY,MHK,0.4207354188999024
COTY,MAT,0.41833198258707116
COTY,MOS,0.41694950591411983
COTY,TDG,0.41473044392577746
COTY,AVY,0.41417189848694275
COTY,ANTM,0.41412006929100775
COTY,LOW,0.4121038746173504
COTY,AAP,0.4089651798985588
COTY,CSRA,
COTY,HLT,
COTY,WLTW,
COTY,UA,
COTY,EVHC,
COTY,HPQ,
COTY,HPE,
COTY,DXC,
COTY,BHF,
COTY,DWDP,
COTY,APTV,
COTY,FTV,
COTY,BHGE,
CSRA,T,
CSRA,UNM,
CSRA,XYL,
CSRA,AJG,
CSRA,WFC,
CSRA,AIV,
CSRA,LLY,
CSRA,ZION,
CSRA,ATVI,
CSRA,PDCO,
CSRA,QRVO,
CSRA,AME,
CSRA,AVGO,
CSRA,XOM,
CSRA,SPGI,
CSRA,RTN,
CSRA,VRTX,
CSRA,WYN,
CSRA,DVN,
CSRA,HLT,
CSRA,WLTW,
CSRA,UA,
CSRA,EVHC,
CSRA,HPQ,
CSRA,HPE,
CSRA,DXC,
CSRA,BHF,
CSRA,DWDP,
CSRA,APTV,
CSRA,FTV,
CSRA,BHGE,
T,MMC,0.8458641367781347
T,TROW,0.8375714400228587
T,FLIR,0.8325241256045744
T,WAT,0.8301584427735469
T,VZ,0.8212461141335017
T,WFC,0.815064247175198
T,TMK,0.8054903998387469
T,MCO,0.8044651664552107
T,PNC,0.8025576592733425
T,EFX,0.8012369834948986
T,RSG,0.8004696457570968
T,ALLE,0.7980233601047926
T,PFG,0.7968945488810736
T,FISV,0.7967300000779747
T,AMG,0.794364904055004
T,A,0.7940485026600647
T,IVZ,0.7923734263062177
T,XRX,0.7921941685882593
T,ITW,0.7911055531958918
T,CL,0.790555463699954
T,PYPL,0.6258296194965347
T,HLT,
T,WLTW,
T,ALB,0.6755156220653294
T,UA,
T,MTD,0.7874920636650519
T,EVHC,
T,TPR,0.6900662931978452
T,GPS,0.6049404618802289
T,AMZN,0.7142310075809382
T,HPQ,
T,KSS,0.5535780732903968
T,HPE,
T,DOV,0.7264286232720572
T,DXC,
T,BHF,
T,DWDP,
T,APTV,
T,CTL,0.7216548946771602
T,FTV,
T,ZBH,0.7541987722628095
T,BHGE,
UNM,LNC,0.8985468785143595
UNM,TMK,0.858481358894672
UNM,PRU,0.8418868306812438
UNM,AFL,0.8412571579306806
UNM,MET,0.840325376168844
UNM,PFG,0.8329984526018667
UNM,SYK,0.8189380941113402
UNM,PCAR,0.8151592688369252
UNM,STI,0.8146184363504506
UNM,JPM,0.8137240800719827
UNM,HBAN,0.8111592739961181
UNM,MMC,0.8098240504490944
UNM,EFX,0.8026394124180312
UNM,MS,0.8024264516190927
UNM,TSS,0.8020906860841508
UNM,WFC,0.8020340806452153
UNM,TROW,0.7970031649457539
UNM,RJF,0.7969961118335809
UNM,FITB,0.7953766266994863
UNM,MCO,0.7933338932120416
UNM,QRVO,0.5889348477643201
UNM,HLT,
UNM,MAR,0.7180649190399189
UNM,V,0.7716837294961542
UNM,LLL,0.6777198237987717
UNM,WLTW,
UNM,VLO,0.6113017784074863
UNM,PG,0.7519062265591606
UNM,UA,
UNM,EVHC,
UNM,CSCO,0.7929447934510028
